"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
5,416896010E-1;-2,549999952E-1;-3,563999891E0;8,951999664E0;9,638745676E0
5,441786010E-1;-1,879999936E-1;-3,614000082E0;8,722000122E0;9,442967051E0
5,466675240E-1;-7,000000030E-2;-3,678999901E0;8,361000061E0;9,134892571E0
5,491569990E-1;-1,000000047E-3;-3,668999910E0;8,444999695E0;9,207582809E0
5,516462300E-1;1,669999957E-1;-3,798000097E0;8,305999756E0;9,134677098E0
5,541352300E-1;2,339999974E-1;-3,750000000E0;8,241000175E0;9,057115429E0
5,566244610E-1;3,989999890E-1;-3,762000084E0;8,362999916E0;9,178867753E0
5,591139370E-1;2,669999897E-1;-3,941999912E0;8,463999748E0;9,340767851E0
5,616031680E-1;3,510000110E-1;-3,880000114E0;8,654999733E0;9,491397277E0
5,640923990E-1;3,300000131E-1;-4,004000187E0;8,840000153E0;9,710124623E0
5,665817070E-1;3,799999952E-1;-4,111999989E0;9,118000031E0;1,000953887E1
5,690709370E-1;4,779999852E-1;-4,125999928E0;9,454999924E0;1,032711881E1
5,715598460E-1;4,280000031E-1;-4,401999950E0;9,616000175E0;1,058433970E1
5,740489990E-1;4,569999874E-1;-4,559999943E0;9,937000275E0;1,094287087E1
5,765382300E-1;5,099999905E-1;-4,670000076E0;1,018099976E1;1,121257137E1
5,790274610E-1;5,389999747E-1;-4,909999847E0;1,042800045E1;1,153870932E1
5,815164610E-1;5,270000100E-1;-5,051000118E0;1,060700035E1;1,176005050E1
5,840056780E-1;4,959999919E-1;-5,214000225E0;1,071500015E1;1,192656877E1
5,864946010E-1;4,639999866E-1;-5,322000027E0;1,095699978E1;1,218994768E1
5,889838320E-1;4,329999983E-1;-5,504000187E0;1,093299961E1;1,224793809E1
5,914727550E-1;2,960000038E-1;-5,519999981E0;1,096700001E1;1,228141299E1
5,939619090E-1;1,040000021E-1;-5,597000122E0;1,099100018E1;1,233447653E1
5,964509230E-1;-5,600000173E-2;-5,623000145E0;1,089999962E1;1,226504212E1
5,989398460E-1;-1,180000007E-1;-5,767000198E0;1,083500004E1;1,227474811E1
6,014289990E-1;-1,799999923E-2;-5,774000168E0;1,076099968E1;1,221222814E1
6,039182300E-1;1,260000020E-1;-5,789000034E0;1,090200043E1;1,234431086E1
6,064075380E-1;3,729999959E-1;-5,793000221E0;1,118000031E1;1,259723729E1
6,088967020E-1;6,949999928E-1;-5,714000225E0;1,122799969E1;1,261747996E1
6,113859330E-1;9,110000134E-1;-5,839000225E0;1,101900005E1;1,250368773E1
6,138751630E-1;1,034999967E0;-5,835999966E0;1,061900043E1;1,216113855E1
